R_0066_CAMPOS_1A	101	408156.00	7530384.00
R_0066_CAMPOS_1A	102	408172.00	7530413.00
R_0066_CAMPOS_1A	103	408190.00	7530442.00
R_0066_CAMPOS_1A	104	408206.00	7530470.00
R_0066_CAMPOS_1A	105	408222.00	7530499.00
R_0066_CAMPOS_1A	106	408238.00	7530528.00
R_0066_CAMPOS_1A	107	408256.00	7530557.00
R_0066_CAMPOS_1A	108	408272.00	7530586.00
R_0066_CAMPOS_1A	109	408288.00	7530614.00
R_0066_CAMPOS_1A	110	408306.00	7530643.00
R_0066_CAMPOS_1A	111	408322.00	7530672.00
R_0066_CAMPOS_1A	112	408340.00	7530701.00
R_0066_CAMPOS_1A	113	408356.00	7530730.00
R_0066_CAMPOS_1A	114	408372.00	7530759.00
R_0066_CAMPOS_1A	115	408390.00	7530787.00
R_0066_CAMPOS_1A	116	408406.00	7530817.00
R_0066_CAMPOS_1A	117	408422.00	7530845.00
R_0066_CAMPOS_1A	118	408440.00	7530874.00
R_0066_CAMPOS_1A	119	408456.00	7530902.00
R_0066_CAMPOS_1A	120	408472.00	7530932.00
R_0066_CAMPOS_1A	121	408490.00	7530960.00
R_0066_CAMPOS_1A	122	408506.00	7530989.00
R_0066_CAMPOS_1A	123	408524.00	7531018.00
R_0066_CAMPOS_1A	124	408540.00	7531047.00
R_0066_CAMPOS_1A	125	408556.00	7531075.00
R_0066_CAMPOS_1A	126	408572.00	7531104.00
R_0066_CAMPOS_1A	127	408590.00	7531133.00
R_0066_CAMPOS_1A	128	408606.00	7531162.00
R_0066_CAMPOS_1A	129	408622.00	7531190.00
R_0066_CAMPOS_1A	130	408640.00	7531220.00
R_0066_CAMPOS_1A	131	408656.00	7531248.00
R_0066_CAMPOS_1A	132	408674.00	7531277.00
R_0066_CAMPOS_1A	133	408690.00	7531306.00
R_0066_CAMPOS_1A	134	408706.00	7531335.00
R_0066_CAMPOS_1A	135	408724.00	7531363.00
R_0066_CAMPOS_1A	136	408740.00	7531393.00
R_0066_CAMPOS_1A	137	408756.00	7531421.00
R_0066_CAMPOS_1A	138	408774.00	7531450.00
R_0066_CAMPOS_1A	139	408790.00	7531478.00
R_0066_CAMPOS_1A	140	408806.00	7531508.00
R_0066_CAMPOS_1A	141	408824.00	7531536.00
R_0066_CAMPOS_1A	142	408840.00	7531565.00
R_0066_CAMPOS_1A	143	408858.00	7531594.00
R_0066_CAMPOS_1A	144	408874.00	7531623.00
R_0066_CAMPOS_1A	145	408890.00	7531651.00
R_0066_CAMPOS_1A	146	408906.00	7531680.00
R_0066_CAMPOS_1A	147	408924.00	7531709.00
R_0066_CAMPOS_1A	148	408940.00	7531738.00
R_0066_CAMPOS_1A	149	408956.00	7531766.00
R_0066_CAMPOS_1A	150	408974.00	7531796.00
R_0066_CAMPOS_1A	151	408990.00	7531824.00
R_0066_CAMPOS_1A	152	409008.00	7531853.00
R_0066_CAMPOS_1A	153	409024.00	7531882.00
R_0066_CAMPOS_1A	154	409040.00	7531911.00
R_0066_CAMPOS_1A	155	409058.00	7531939.00
R_0066_CAMPOS_1A	156	409074.00	7531969.00
R_0066_CAMPOS_1A	157	409090.00	7531997.00
R_0066_CAMPOS_1A	158	409108.00	7532026.00
R_0066_CAMPOS_1A	159	409124.00	7532055.00
R_0066_CAMPOS_1A	160	409140.00	7532084.00
R_0066_CAMPOS_1A	161	409158.00	7532113.00
R_0066_CAMPOS_1A	162	409174.00	7532141.00
R_0066_CAMPOS_1A	163	409192.00	7532170.00
R_0066_CAMPOS_1A	164	409208.00	7532199.00
R_0066_CAMPOS_1A	165	409224.00	7532228.00
R_0066_CAMPOS_1A	166	409240.00	7532256.00
R_0066_CAMPOS_1A	167	409258.00	7532286.00
R_0066_CAMPOS_1A	168	409274.00	7532314.00
R_0066_CAMPOS_1A	169	409290.00	7532343.00
R_0066_CAMPOS_1A	170	409308.00	7532372.00
R_0066_CAMPOS_1A	171	409324.00	7532401.00
R_0066_CAMPOS_1A	172	409342.00	7532429.00
R_0066_CAMPOS_1A	173	409358.00	7532459.00
R_0066_CAMPOS_1A	174	409374.00	7532487.00
R_0066_CAMPOS_1A	175	409392.00	7532516.00
R_0066_CAMPOS_1A	176	409408.00	7532545.00
R_0066_CAMPOS_1A	177	409424.00	7532574.00
R_0066_CAMPOS_1A	178	409442.00	7532602.00
R_0066_CAMPOS_1A	179	409458.00	7532631.00
R_0066_CAMPOS_1A	180	409476.00	7532660.00
R_0066_CAMPOS_1A	181	409492.00	7532689.00
R_0066_CAMPOS_1A	182	409508.00	7532717.00
R_0066_CAMPOS_1A	183	409526.00	7532747.00
R_0066_CAMPOS_1A	184	409542.00	7532775.00
R_0066_CAMPOS_1A	185	409558.00	7532804.00
R_0066_CAMPOS_1A	186	409574.00	7532832.00
R_0066_CAMPOS_1A	187	409592.00	7532862.00
R_0066_CAMPOS_1A	188	409608.00	7532890.00
R_0066_CAMPOS_1A	189	409624.00	7532919.00
R_0066_CAMPOS_1A	190	409642.00	7532948.00
R_0066_CAMPOS_1A	191	409658.00	7532977.00
R_0066_CAMPOS_1A	192	409676.00	7533005.00
R_0066_CAMPOS_1A	193	409692.00	7533035.00
R_0066_CAMPOS_1A	194	409708.00	7533063.00
R_0066_CAMPOS_1A	195	409726.00	7533092.00
R_0066_CAMPOS_1A	196	409742.00	7533121.00
R_0066_CAMPOS_1A	197	409758.00	7533150.00
R_0066_CAMPOS_1A	198	409776.00	7533178.00
R_0066_CAMPOS_1A	199	409792.00	7533207.00
R_0066_CAMPOS_1A	200	409810.00	7533236.00
R_0066_CAMPOS_1A	201	409826.00	7533265.00
R_0066_CAMPOS_1A	202	409842.00	7533293.00
R_0066_CAMPOS_1A	203	409860.00	7533323.00
R_0066_CAMPOS_1A	204	409876.00	7533351.00
R_0066_CAMPOS_1A	205	409892.00	7533380.00
R_0066_CAMPOS_1A	206	409908.00	7533409.00
R_0066_CAMPOS_1A	207	409926.00	7533438.00
R_0066_CAMPOS_1A	208	409942.00	7533466.00
R_0066_CAMPOS_1A	209	409958.00	7533495.00
R_0066_CAMPOS_1A	210	409976.00	7533524.00
R_0066_CAMPOS_1A	211	409992.00	7533553.00
R_0066_CAMPOS_1A	212	410010.00	7533582.00
R_0066_CAMPOS_1A	213	410026.00	7533611.00
R_0066_CAMPOS_1A	214	410042.00	7533640.00
R_0066_CAMPOS_1A	215	410060.00	7533668.00
